Central LA Co,.05, .04, 0.5, 23, 11, .02, 46
NW Coastal LA,.05, .04, 0.5, 27, 12, .01, 50
SW Coastal LA,.05, .04, 0.7, 22, 11, .01, 46
S Coastal LA,.04, .03, 0.5, 22, 11, .01, 46
Southeast LA Co,.04, .03, 0.5, 24, 13, .01, 53
W San Fernando Vly,.05, .04, 0.5, 20, 10, .01, 42
E San Fernando Vly,.04, .03, 0.5, 21, 10, .01, 42
W San Gabriel Vly,.06, .04, 0.6, 31, 14, .01, 55
E San Gabriel Vly-1,.06, .04, 0.6, 38, 20, .01, 68
E San Gabriel Vly-2,.04, .04, 0.6, 36, 17, .01, 61
Pomona Walnut Vly,.05, .04, 1.0, 34, 18, .01, 63
S San Gabriel Vly,.05, .04, 0.5, 23, 12, .01, 50
S Central LA Co,.04, .03, 0.5, 21, 11, .02, 46
Santa Clarita Vly,.06, .05, 0.5, 26, 13, .01, 53
San Gabriel Mts,.06, .05, 0.5, 38, 18, .01, 63
Antelope Vly,.07, .05, 0.5, 17, 8, .01, 46
