arleta,84.6 / 10k pop / yr
burbank,116.3 / 10k pop / yr
canoga-park,151.0 / 10k pop / yr
chatsworth,139.9 / 10k pop / yr
chatsworth-reservoir,139.9 / 10k pop / yr
encino,121.8 / 10k pop / yr
granada-hills,103.5 / 10k pop / yr
hansen-dam,75.4 / 10k pop / yr
lake-balboa,119.5 / 10k pop / yr
lake-view-terrace,71.5 / 10k pop / yr
mission-hills,120.4 / 10k pop / yr
north-hills,104.8 / 10k pop / yr
north-hollywood,142.2 / 10k pop / yr
northridge,182.1 / 10k pop / yr
pacoima,75.4 / 10k pop / yr
panorama-city,109.4 / 10k pop / yr
porter-ranch,64.8 / 10k pop / yr
reseda,105.7 / 10k pop / yr
san-fernando,76.6 / 10k pop / yr
sepulveda-basin,121.8 / 10k pop / yr
shadow-hills,94.4 / 10k pop / yr
sherman-oaks,143.7 / 10k pop / yr
studio-city,164.2 / 10k pop / yr
sun-valley,97.7 / 10k pop / yr
sylmar,76.6 / 10k pop / yr
tarzana,140.3 / 10k pop / yr
toluca-lake,150.7 / 10k pop / yr
universal-city,164.2 / 10k pop / yr
valley-glen,126.3 / 10k pop / yr
valley-village,134.0 / 10k pop / yr
van-nuys,127.1 / 10k pop / yr
west-hills,88.1 / 10k pop / yr
winnetka,106.5 / 10k pop / yr
woodland-hills,158.5 / 10k pop / yr
altadena,48.7 / 10k pop / yr
glendale,78.0 / 10k pop / yr
la-canada-flintridge,64.3 / 10k pop / yr
la-crescenta-montrose,56.2 / 10k pop / yr
pasadena,126.5 / 10k pop / yr
sunland,85.1 / 10k pop / yr
tujunga,66.7 / 10k pop / yr
agoura-hills,57.1 / 10k pop / yr
calabasas,52.7 / 10k pop / yr
hidden-hills,58.7 / 10k pop / yr
malibu,142.2 / 10k pop / yr
topanga,48.5 / 10k pop / yr
unincorporated-santa-monica-mountains,61.6 / 10k pop / yr
westlake-village,99.3 / 10k pop / yr
atwater-village,71.8 / 10k pop / yr
cypress-park,126.2 / 10k pop / yr
eagle-rock,102.4 / 10k pop / yr
glassell-park,70.9 / 10k pop / yr
highland-park,71.2 / 10k pop / yr
montecito-heights,65.0 / 10k pop / yr
mount-washington,92.4 / 10k pop / yr
boyle-heights,106.7 / 10k pop / yr
east-los-angeles,106.7 / 10k pop / yr
el-sereno,61.7 / 10k pop / yr
lincoln-heights,129.6 / 10k pop / yr
arlington-heights,92.2 / 10k pop / yr
beverly-grove,268.2 / 10k pop / yr
carthay,164.1 / 10k pop / yr
chinatown,59.6 / 10k pop / yr
downtown,118.0 / 10k pop / yr
east-hollywood,100.8 / 10k pop / yr
echo-park,106.1 / 10k pop / yr
elysian-park,300.8 / 10k pop / yr
elysian-valley,47.6 / 10k pop / yr
fairfax,303.1 / 10k pop / yr
griffith-park,127.8 / 10k pop / yr
hancock-park,170.6 / 10k pop / yr
harvard-heights,118.8 / 10k pop / yr
hollywood,202.2 / 10k pop / yr
hollywood-hills,155.7 / 10k pop / yr
hollywood-hills-west,144.4 / 10k pop / yr
koreatown,112.9 / 10k pop / yr
larchmont,149.0 / 10k pop / yr
los-feliz,127.8 / 10k pop / yr
mid-city,105.6 / 10k pop / yr
mid-wilshire,142.4 / 10k pop / yr
pico-union,94.5 / 10k pop / yr
silver-lake,117.7 / 10k pop / yr
west-hollywood,228.5 / 10k pop / yr
westlake,96.6 / 10k pop / yr
windsor-square,124.3 / 10k pop / yr
adams-normandie,98.9 / 10k pop / yr
athens,192.3 / 10k pop / yr
baldwin-hillscrenshaw,258.0 / 10k pop / yr
broadway-manchester,169.4 / 10k pop / yr
central-alameda,104.0 / 10k pop / yr
chesterfield-square,388.6 / 10k pop / yr
exposition-park,120.7 / 10k pop / yr
florence,176.6 / 10k pop / yr
florence-firestone,116.2 / 10k pop / yr
gramercy-park,176.3 / 10k pop / yr
green-meadows,190.5 / 10k pop / yr
harvard-park,182.8 / 10k pop / yr
historic-south-central,132.5 / 10k pop / yr
hyde-park,117.9 / 10k pop / yr
jefferson-park,90.2 / 10k pop / yr
leimert-park,231.5 / 10k pop / yr
manchester-square,187.4 / 10k pop / yr
south-park,119.0 / 10k pop / yr
university-park,205.7 / 10k pop / yr
vermont-knolls,188.2 / 10k pop / yr
vermont-slauson,205.5 / 10k pop / yr
vermont-square,134.6 / 10k pop / yr
vermont-vista,189.2 / 10k pop / yr
view-park-windsor-hills,112.1 / 10k pop / yr
watts,122.1 / 10k pop / yr
west-adams,113.8 / 10k pop / yr
westmont,109.6 / 10k pop / yr
willowbrook,92.0 / 10k pop / yr
alondra-park,104.6 / 10k pop / yr
del-aire,101.8 / 10k pop / yr
el-segundo,158.8 / 10k pop / yr
gardena,116.2 / 10k pop / yr
hawthorne,148.9 / 10k pop / yr
hermosa-beach,137.5 / 10k pop / yr
inglewood,123.6 / 10k pop / yr
lawndale,79.4 / 10k pop / yr
lennox,61.4 / 10k pop / yr
lomita,74.1 / 10k pop / yr
manhattan-beach,123.4 / 10k pop / yr
palos-verdes-estates,45.7 / 10k pop / yr
playa-del-rey,133.4 / 10k pop / yr
rancho-palos-verdes,49.2 / 10k pop / yr
redondo-beach,107.3 / 10k pop / yr
rolling-hills,28.0 / 10k pop / yr
rolling-hills-estates,79.2 / 10k pop / yr
torrance,93.1 / 10k pop / yr
westchester,243.5 / 10k pop / yr
bel-air,55.7 / 10k pop / yr
beverly-crest,64.8 / 10k pop / yr
beverly-hills,154.7 / 10k pop / yr
beverlywood,77.9 / 10k pop / yr
brentwood,102.4 / 10k pop / yr
century-city,22.1 / 10k pop / yr
cheviot-hills,150.6 / 10k pop / yr
culver-city,214.5 / 10k pop / yr
del-rey,106.7 / 10k pop / yr
ladera-heights,187.4 / 10k pop / yr
marina-del-rey,253.0 / 10k pop / yr
mar-vista,77.4 / 10k pop / yr
pacific-palisades,73.3 / 10k pop / yr
palms,87.1 / 10k pop / yr
pico-robertson,133.5 / 10k pop / yr
playa-vista,267.9 / 10k pop / yr
rancho-park,324.8 / 10k pop / yr
santa-monica,163.9 / 10k pop / yr
sawtelle,124.8 / 10k pop / yr
venice,186.1 / 10k pop / yr
veterans-administration,124.8 / 10k pop / yr
west-los-angeles,217.2 / 10k pop / yr
westwood,81.5 / 10k pop / yr
