arleta,10034 / sq mi
burbank,5785 / sq mi
canoga-park,12240 / sq mi
chatsworth,2301 / sq mi
chatsworth-reservoir,1000 / sq mi
encino,4411 / sq mi
granada-hills,3344 / sq mi
hansen-dam,1000 / sq mi
lake-balboa,7754 / sq mi
lake-view-terrace,2790 / sq mi
mission-hills,5721 / sq mi
north-hills,10003 / sq mi
north-hollywood,13264 / sq mi
northridge,6080 / sq mi
pacoima,10510 / sq mi
panorama-city,18028 / sq mi
porter-ranch,4462 / sq mi
reseda,10600 / sq mi
san-fernando,9856 / sq mi
sepulveda-basin,2500 / sq mi
shadow-hills,1023 / sq mi
sherman-oaks,6687 / sq mi
studio-city,5395 / sq mi
sun-valley,8048 / sq mi
sylmar,5579 / sq mi
tarzana,4038 / sq mi
toluca-lake,6393 / sq mi
universal-city,5395 / sq mi
valley-glen,12325 / sq mi
valley-village,11600 / sq mi
van-nuys,11542 / sq mi
west-hills,4551 / sq mi
winnetka,9826 / sq mi
woodland-hills,4040 / sq mi
altadena,4900 / sq mi
glendale,6368 / sq mi
la-canada-flintridge,2369 / sq mi
la-crescenta-montrose,5401 / sq mi
pasadena,5366 / sq mi
sunland,3825 / sq mi
tujunga,2649 / sq mi
agoura-hills,2495 / sq mi
calabasas,1247 / sq mi
hidden-hills,1100 / sq mi
malibu,629 / sq mi
topanga,386 / sq mi
unincorporated-santa-monica-mountains,100 / sq mi
westlake-village,1534 / sq mi
atwater-village,8379 / sq mi
cypress-park,13478 / sq mi
eagle-rock,7644 / sq mi
glassell-park,8524 / sq mi
highland-park,16835 / sq mi
montecito-heights,6959 / sq mi
mount-washington,6878 / sq mi
boyle-heights,14229 / sq mi
east-los-angeles,16863 / sq mi
el-sereno,9826 / sq mi
lincoln-heights,10602 / sq mi
arlington-heights,21423 / sq mi
beverly-grove,12990 / sq mi
carthay,9642 / sq mi
chinatown,10568 / sq mi
downtown,4770 / sq mi
east-hollywood,31095 / sq mi
echo-park,16868 / sq mi
elysian-park,1538 / sq mi
elysian-valley,9354 / sq mi
fairfax,10122 / sq mi
griffith-park,5000 / sq mi
hancock-park,6459 / sq mi
harvard-heights,23473 / sq mi
hollywood,22193 / sq mi
hollywood-hills,3063 / sq mi
hollywood-hills-west,3048 / sq mi
koreatown,42611 / sq mi
larchmont,17747 / sq mi
los-feliz,13512 / sq mi
mid-city,15051 / sq mi
mid-wilshire,14988 / sq mi
pico-union,25352 / sq mi
silver-lake,11266 / sq mi
west-hollywood,18924 / sq mi
westlake,38214 / sq mi
windsor-square,8255 / sq mi
adams-normandie,21848 / sq mi
athens,6829 / sq mi
baldwin-hillscrenshaw,10446 / sq mi
broadway-manchester,15060 / sq mi
central-alameda,18760 / sq mi
chesterfield-square,9571 / sq mi
exposition-park,16819 / sq mi
florence,15661 / sq mi
florence-firestone,16805 / sq mi
gramercy-park,8859 / sq mi
green-meadows,12785 / sq mi
harvard-park,16072 / sq mi
historic-south-central,19474 / sq mi
hyde-park,12700 / sq mi
jefferson-park,16300 / sq mi
leimert-park,9880 / sq mi
manchester-square,11449 / sq mi
south-park,21638 / sq mi
university-park,20217 / sq mi
vermont-knolls,18057 / sq mi
vermont-slauson,18577 / sq mi
vermont-square,17798 / sq mi
vermont-vista,14154 / sq mi
view-park-windsor-hills,6008 / sq mi
watts,17346 / sq mi
west-adams,14686 / sq mi
westmont,17066 / sq mi
willowbrook,9117 / sq mi
alondra-park,7548 / sq mi
del-aire,9132 / sq mi
el-segundo,2925 / sq mi
gardena,9894 / sq mi
hawthorne,13848 / sq mi
hermosa-beach,12481 / sq mi
inglewood,12330 / sq mi
lawndale,16119 / sq mi
lennox,21557 / sq mi
lomita,10424 / sq mi
manhattan-beach,8573 / sq mi
palos-verdes-estates,2822 / sq mi
playa-del-rey,3542 / sq mi
rancho-palos-verdes,3084 / sq mi
redondo-beach,10129 / sq mi
rolling-hills,893 / sq mi
rolling-hills-estates,2185 / sq mi
torrance,6701 / sq mi
westchester,3839 / sq mi
bel-air,1207 / sq mi
beverly-crest,1318 / sq mi
beverly-hills,5933 / sq mi
beverlywood,7654 / sq mi
brentwood,2059 / sq mi
century-city,7869 / sq mi
cheviot-hills,4520 / sq mi
culver-city,7475 / sq mi
del-rey,11420 / sq mi
ladera-heights,2214 / sq mi
marina-del-rey,5706 / sq mi
mar-vista,12259 / sq mi
pacific-palisades,1048 / sq mi
palms,21870 / sq mi
pico-robertson,17468 / sq mi
playa-vista,1859 / sq mi
rancho-park,7169 / sq mi
santa-monica,9817 / sq mi
sawtelle,13319 / sq mi
venice,11891 / sq mi
veterans-administration,683 / sq mi
west-los-angeles,12061 / sq mi
westwood,13036 / sq mi
