arleta,4.6 out of 10
burbank,6.8 out of 10
canoga-park,4.4 out of 10
chatsworth,6.0 out of 10
chatsworth-reservoir,3.8 out of 10
encino,6.2 out of 10
granada-hills,6.6 out of 10
hansen-dam,4.4 out of 10
lake-balboa,3.0 out of 10
lake-view-terrace,3.2 out of 10
mission-hills,5.0 out of 10
north-hills,5.8 out of 10
north-hollywood,3.2 out of 10
northridge,6.2 out of 10
pacoima,3.4 out of 10
panorama-city,2.8 out of 10
porter-ranch,7.0 out of 10
reseda,4.0 out of 10
san-fernando,3.8 out of 10
sepulveda-basin,4.4 out of 10
shadow-hills,3.4 out of 10
sherman-oaks,5.6 out of 10
studio-city,7.2 out of 10
sun-valley,3.6 out of 10
sylmar,3.6 out of 10
tarzana,6.4 out of 10
toluca-lake,6.0 out of 10
universal-city,6.0 out of 10
valley-glen,4.6 out of 10
valley-village,7.0 out of 10
van-nuys,3.8 out of 10
west-hills,6.8 out of 10
winnetka,3.6 out of 10
woodland-hills,5.8 out of 10
altadena,4.2 out of 10
glendale,7.4 out of 10
la-canada-flintridge,10.0 out of 10
la-crescenta-montrose,9.6 out of 10
pasadena,4.8 out of 10
sunland,6.0 out of 10
tujunga,5.4 out of 10
agoura-hills,9.0 out of 10
calabasas,6.0 out of 10
hidden-hills,6.4 out of 10
malibu,9.0 out of 10
topanga,8.2 out of 10
unincorporated-santa-monica-mountains,7.2 out of 10
westlake-village,9.0 out of 10
atwater-village,5.0 out of 10
cypress-park,3.8 out of 10
eagle-rock,6.6 out of 10
glassell-park,3.2 out of 10
highland-park,5.0 out of 10
montecito-heights,4.4 out of 10
mount-washington,6.4 out of 10
boyle-heights,2.0 out of 10
east-los-angeles,4.4 out of 10
el-sereno,4.0 out of 10
lincoln-heights,4.0 out of 10
arlington-heights,3.8 out of 10
beverly-grove,6.4 out of 10
carthay,5.0 out of 10
chinatown,6.0 out of 10
downtown,3.0 out of 10
east-hollywood,4.6 out of 10
echo-park,7.0 out of 10
elysian-park,5.2 out of 10
elysian-valley,5.2 out of 10
fairfax,5.4 out of 10
griffith-park,7.0 out of 10
hancock-park,7.0 out of 10
harvard-heights,3.2 out of 10
hollywood,4.0 out of 10
hollywood-hills,5.6 out of 10
hollywood-hills-west,6.4 out of 10
koreatown,6.0 out of 10
larchmont,5.0 out of 10
los-feliz,6.8 out of 10
mid-city,3.8 out of 10
mid-wilshire,4.2 out of 10
pico-union,3.4 out of 10
silver-lake,7.4 out of 10
west-hollywood,6.6 out of 10
westlake,4.0 out of 10
windsor-square,7.0 out of 10
adams-normandie,2.6 out of 10
athens,2.0 out of 10
baldwin-hillscrenshaw,1.4 out of 10
broadway-manchester,1.6 out of 10
central-alameda,2.8 out of 10
chesterfield-square,1.2 out of 10
exposition-park,2.0 out of 10
florence,1.8 out of 10
florence-firestone,1.8 out of 10
gramercy-park,1.8 out of 10
green-meadows,2.0 out of 10
harvard-park,1.6 out of 10
historic-south-central,3.0 out of 10
hyde-park,2.0 out of 10
jefferson-park,2.2 out of 10
leimert-park,1.4 out of 10
manchester-square,1.8 out of 10
south-park,2.8 out of 10
university-park,3.0 out of 10
vermont-knolls,1.2 out of 10
vermont-slauson,1.8 out of 10
vermont-square,1.2 out of 10
vermont-vista,1.6 out of 10
view-park-windsor-hills,2.2 out of 10
watts,2.0 out of 10
west-adams,2.4 out of 10
westmont,2.0 out of 10
willowbrook,1.8 out of 10
alondra-park,6.0 out of 10
del-aire,6.0 out of 10
el-segundo,9.0 out of 10
gardena,3.6 out of 10
hawthorne,5.2 out of 10
hermosa-beach,9.8 out of 10
inglewood,2.2 out of 10
lawndale,5.0 out of 10
lennox,4.0 out of 10
lomita,4.6 out of 10
manhattan-beach,10.0 out of 10
palos-verdes-estates,9.0 out of 10
playa-del-rey,4.0 out of 10
rancho-palos-verdes,9.0 out of 10
redondo-beach,7.8 out of 10
rolling-hills,9.0 out of 10
rolling-hills-estates,9.4 out of 10
torrance,8.6 out of 10
westchester,3.2 out of 10
bel-air,6.6 out of 10
beverly-crest,5.8 out of 10
beverly-hills,8.4 out of 10
beverlywood,6.6 out of 10
brentwood,6.8 out of 10
century-city,6.0 out of 10
cheviot-hills,7.0 out of 10
culver-city,8.0 out of 10
del-rey,3.8 out of 10
ladera-heights,2.6 out of 10
marina-del-rey,4.8 out of 10
mar-vista,3.8 out of 10
pacific-palisades,8.6 out of 10
palms,5.4 out of 10
pico-robertson,5.8 out of 10
playa-vista,4.6 out of 10
rancho-park,6.6 out of 10
santa-monica,8.6 out of 10
sawtelle,4.0 out of 10
venice,4.6 out of 10
veterans-administration,5.5 out of 10
west-los-angeles,6.0 out of 10
westwood,5.4 out of 10
