arleta,53.2
burbank,49.7
canoga-park,67.6
chatsworth,21.1
chatsworth-reservoir,6.5
encino,30.4
granada-hills,26.1
hansen-dam,15.4
lake-balboa,55.0
lake-view-terrace,14.3
mission-hills,50.3
north-hills,50.8
north-hollywood,75.3
northridge,39.8
pacoima,50.8
panorama-city,66.1
porter-ranch,33.7
reseda,52.4
san-fernando,81.5
sepulveda-basin,29.4
shadow-hills,3.7
sherman-oaks,51.6
studio-city,44.8
sun-valley,44.3
sylmar,25.8
tarzana,31.7
toluca-lake,65.3
universal-city,42.0
valley-glen,72.4
valley-village,76.8
van-nuys,57.9
west-hills,45.8
winnetka,56.0
woodland-hills,39.1
altadena,44.0
glendale,47.8
la-canada-flintridge,33.8
la-crescenta-montrose,44.2
pasadena,78.4
sunland,36.6
tujunga,19.4
agoura-hills,17.3
calabasas,12.1
hidden-hills,2.4
malibu,10.9
topanga,1.7
unincorporated-santa-monica-mountains,0.0
westlake-village,23.6
atwater-village,58.0
cypress-park,78.6
eagle-rock,66.0
glassell-park,64.9
highland-park,80.3
montecito-heights,41.1
mount-washington,46.6
boyle-heights,80.4
east-los-angeles,76.4
el-sereno,58.4
lincoln-heights,75.9
arlington-heights,88.7
beverly-grove,95.9
carthay,95.8
chinatown,83.3
downtown,86.1
east-hollywood,92.5
echo-park,86.4
elysian-park,35.9
elysian-valley,46.8
fairfax,99.7
griffith-park,13.6
hancock-park,71.3
harvard-heights,95.3
hollywood,99.7
hollywood-hills,33.6
hollywood-hills-west,23.4
koreatown,100.0
larchmont,88.2
los-feliz,60.0
mid-city,81.9
mid-wilshire,88.1
pico-union,94.0
silver-lake,77.8
west-hollywood,96.0
westlake,91.5
windsor-square,74.2
adams-normandie,81.4
athens,50.4
baldwin-hillscrenshaw,54.3
broadway-manchester,68.8
central-alameda,72.3
chesterfield-square,78.6
exposition-park,77.5
florence,77.1
florence-firestone,76.8
gramercy-park,67.0
green-meadows,67.3
harvard-park,79.7
historic-south-central,94.6
hyde-park,72.2
jefferson-park,77.1
leimert-park,81.5
manchester-square,73.9
south-park,83.7
university-park,93.6
vermont-knolls,72.0
vermont-slauson,83.8
vermont-square,79.5
vermont-vista,66.2
view-park-windsor-hills,63.6
watts,72.6
west-adams,78.0
westmont,62.6
willowbrook,63.0
alondra-park,65.4
del-aire,58.6
el-segundo,64.1
gardena,79.7
hawthorne,68.7
hermosa-beach,91.7
inglewood,70.4
lawndale,88.8
lennox,79.2
lomita,79.6
manhattan-beach,77.9
palos-verdes-estates,10.5
playa-del-rey,37.1
rancho-palos-verdes,26.6
redondo-beach,79.0
rolling-hills,5.8
rolling-hills-estates,19.2
torrance,69.5
westchester,52.2
bel-air,6.5
beverly-crest,3.5
beverly-hills,66.3
beverlywood,68.2
brentwood,15.1
century-city,85.3
cheviot-hills,54.7
culver-city,74.5
del-rey,67.8
ladera-heights,26.2
marina-del-rey,42.1
mar-vista,66.0
pacific-palisades,13.2
palms,84.8
pico-robertson,96.3
playa-vista,54.4
rancho-park,82.5
santa-monica,88.6
sawtelle,86.1
venice,88.4
veterans-administration,62.1
west-los-angeles,84.3
westwood,64.3
