arleta,1575
burbank,2050
canoga-park,1700
chatsworth,1850
chatsworth-reservoir,1850
encino,2050
granada-hills,1600
hansen-dam,1575
lake-balboa,1700
lake-view-terrace,1750
mission-hills,1600
north-hills,1400
north-hollywood,2025
northridge,1800
pacoima,1575
panorama-city,1575
porter-ranch,1800
reseda,1650
san-fernando,1450
sepulveda-basin,1450
shadow-hills,1725
sherman-oaks,2100
studio-city,2450
sun-valley,1600
sylmar,1450
tarzana,1700
toluca-lake,2200
universal-city,2450
valley-glen,2050
valley-village,2300
van-nuys,1800
west-hills,1850
winnetka,1600
woodland-hills,2000
altadena,1700
glendale,1900
la-canada-flintridge,2200
la-crescenta-montrose,2000
pasadena,2150
sunland,1850
tujunga,1850
agoura-hills,2100
calabasas,2200
hidden-hills,1800
malibu,4000
topanga,3200
unincorporated-santa-monica-mountains,2800
westlake-village,2300
atwater-village,2350
cypress-park,1900
eagle-rock,2150
glassell-park,2100
highland-park,1700
montecito-heights,2400
mount-washington,2300
boyle-heights,1600
east-los-angeles,1700
el-sereno,2050
lincoln-heights,1600
arlington-heights,1750
beverly-grove,3150
carthay,2400
chinatown,2450
downtown,3850
east-hollywood,2300
echo-park,2450
elysian-park,2100
elysian-valley,2100
fairfax,2750
griffith-park,2450
hancock-park,2500
harvard-heights,1700
hollywood,2600
hollywood-hills,3000
hollywood-hills-west,3000
koreatown,2800
larchmont,2700
los-feliz,2450
mid-city,1800
mid-wilshire,2450
pico-union,2000
silver-lake,2750
west-hollywood,2800
westlake,1800
windsor-square,2750
adams-normandie,1900
athens,1400
baldwin-hillscrenshaw,1800
broadway-manchester,1450
central-alameda,1800
chesterfield-square,1600
exposition-park,1800
florence,1450
florence-firestone,1450
gramercy-park,1300
green-meadows,1450
harvard-park,1600
historic-south-central,1650
hyde-park,1400
jefferson-park,1750
leimert-park,1700
manchester-square,1350
south-park,1550
university-park,2200
vermont-knolls,1450
vermont-slauson,1450
vermont-square,1450
vermont-vista,1450
view-park-windsor-hills,2000
watts,1400
west-adams,1850
westmont,1300
willowbrook,1400
alondra-park,1550
del-aire,1350
el-segundo,2500
gardena,1400
hawthorne,1350
hermosa-beach,3150
inglewood,1400
lawndale,1550
lennox,1500
lomita,1700
manhattan-beach,3400
palos-verdes-estates,3000
playa-del-rey,2600
rancho-palos-verdes,3000
redondo-beach,2200
rolling-hills,3000
rolling-hills-estates,3000
torrance,1750
westchester,2850
bel-air,3050
beverly-crest,3050
beverly-hills,3100
beverlywood,2250
brentwood,3450
century-city,3350
cheviot-hills,2250
culver-city,2500
del-rey,2500
ladera-heights,2200
marina-del-rey,3050
mar-vista,2350
pacific-palisades,3700
palms,2250
pico-robertson,2450
playa-vista,2400
rancho-park,2200
santa-monica,3350
sawtelle,2600
venice,3800
veterans-administration,2600
west-los-angeles,2600
westwood,3250
